,asin,text,rating,time
0,B00007GDFV,review several soft stiff handy easy zippered pleased read pleased,5,1433376000
1,B00007GDFV,black urban mismarked code wrong black happy,5,1397520000
2,B00007GDFV,felt seller quick,1,1393632000
3,B00007GDFV,read fine safe assume hold pardon correct,1,1391904000
4,B00008JOQI,average hole finish thin undershirt shrink wash arrive old unpackaged add material dry clean occasional sad material continue reasonable,2,1500249600
5,B0000AWHAA,courteous prompt high lower balaclava ship wrong seller confident costume turn fine,3,1225584000
6,B0002TGUU8,steal happy favorite,5,1184889600
7,B0002TGUU8,strong sure assorted luck old sandal hit comfortable regular shipping sized send front fine whole rest,4,1151884800
8,B0002TGUU8,believe license original midwest compare shoe correct charge correct past pay postage midwest,2,1140998400
9,B00061RG3M,hop cubic perfect silver sad fuss replace ship,5,1294012800
10,B00062NHH0,downhill thinner width thin black,1,1465430400
11,B00062NHH0,shirt tommy different lb medium arrive wearable xxl ive quality thicker usual,2,1445817600
12,B00062NHH0,expect similar undershirt begin impress body undershirt slight yellowish costco happy,3,1417219200
13,B00062NHH0,first medium,5,1410307200
14,B00062NHH0,enormous bed silly shrink avoid tall tall,1,1409616000
15,B00062NHH0,lb ralph lauren,2,1401148800
16,B00062NHH0,recommend normal,1,1397692800
17,B00062NHH0,open white closer slight pink lazzy hassel clean,1,1334275200
18,B00063W5J0,sturdy sloppy,3,1470614400
19,B00066G516,white assumed ordered white black sight shoe doubtful,1,1382918400
20,B000673JT6,pleased unique distinctive beautiful wrong replacement fantastic ship next ian,5,1224892800
21,B000673JT6,pictured assume amber vary color remark substantial uncomfortable finish excellent rep tell produce comment exceptional arrive eve open angle nervous adjust call expect formal nervous explain answer first happy,5,1230595200
22,B0006FUF68,camel decide black package disappointment inner uncomfortable high hat acknowledge refund,2,1306195200
23,B0006FUF68,hi close floppy dissappointed shipping,3,1394582400
24,B0006HB4XE,super strong replace handle,5,1263686400
25,B0006HB4XE,prefer different hard nail best skin black silver awesome hapopy recieved pleased,5,1252454400
26,B0006HB4XE,last next shower blackish poor wish crappy,1,1228176000
27,B0006HB4XE,girlfriend loves shipping,5,1226188800
28,B0006HB4XE,pleased easy provide,5,1207785600
29,B0006IXEG8,whole,2,1362268800
30,B0006IXEG8,perfect camisole advertised restock disappointed,2,1320969600
31,B0007MV6PO,lose recent,4,1442361600
32,B0007MV6PO,sizing appear accurate mean expensive ocean,4,1436054400
33,B0007MV6PO,long expect arrive read true,4,1405036800
34,B0007MV6PO,hat like save send label call send arrive email learn available notify email,2,1402012800
35,B0007MV6PO,second less arrive perfect second crush crushable nevertheless presentable shape chin count last long,5,1371168000
36,B0007MV6PO,material shape open tight half decide email pleased please decide due high send next prepaid ups request pack long,5,1282435200
37,B0007MV6PO,block item show several notify log expedite shipment tell ship sportsman indicate evening item shipment indicate deliver pay tell freight poor sure indicate understand experience expect,1,1282089600
38,B0007MV6PY,hat,4,1502668800
39,B0007MV6PY,replace lose dominican comfortable described arrive impatient prime,5,1500163200
40,B0007MV6PY,weird first less,4,1353974400
41,B0007MV6PY,correct crushable irish original arrived box huge arrive hurt force happy henschel shipper,2,1341360000
42,B0007MV6PY,teenage dominican republic choose wide mesh entire shield head cool pack former usa,5,1251504000
43,B00080L00Q,beautiful dopp stitching pack couple,5,1508025600
