instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,cnt
6114,2011-09-17,3,0,9,7,0,6,0,2,0.46,0.4545,0.77,0.194,37
9014,2012-01-16,1,1,1,10,1,1,0,2,0.14,0.1364,0.59,0.194,126
5539,2011-08-23,3,0,8,16,0,2,1,1,0.72,0.6515,0.32,0.1343,444
16216,2012-11-13,4,1,11,9,0,2,1,3,0.32,0.303,0.81,0.3284,110
5349,2011-08-15,3,0,8,18,0,1,1,1,0.7,0.6515,0.65,0.194,483
6778,2011-10-14,4,0,10,23,0,5,1,1,0.46,0.4545,0.59,0.1642,95
14383,2012-08-27,3,1,8,11,0,1,1,1,0.74,0.697,0.66,0.194,229
5751,2011-09-02,3,0,9,1,0,5,1,3,0.62,0.5909,0.73,0.1045,32
7342,2011-11-07,4,0,11,12,0,1,1,1,0.46,0.4545,0.67,0,179
15987,2012-11-03,4,1,11,19,0,6,0,1,0.36,0.3485,0.5,0.1642,239
6825,2011-10-16,4,0,10,22,0,0,0,1,0.56,0.5303,0.49,0.4179,130
16503,2012-11-25,4,1,11,8,0,0,0,2,0.22,0.2273,0.51,0.194,34
4341,2011-07-04,3,0,7,18,1,1,0,1,0.8,0.7273,0.46,0.1343,418
497,2011-01-22,1,0,1,18,0,6,0,1,0.08,0.0909,0.35,0.194,54
3946,2011-06-18,2,0,6,7,0,6,0,1,0.64,0.5909,0.78,0.1343,57
10940,2012-04-05,2,1,4,23,0,4,1,1,0.4,0.4091,0.5,0.1343,136
7583,2011-11-17,4,0,11,13,0,4,1,2,0.34,0.303,0.49,0.4478,124
10678,2012-03-26,2,1,3,0,0,1,1,2,0.48,0.4697,0.82,0.1642,33
39,2011-01-02,1,0,1,15,0,0,0,3,0.34,0.3333,0.81,0.1642,74
10791,2012-03-30,2,1,3,17,0,5,1,2,0.4,0.4091,0.62,0.2239,606
4605,2011-07-15,3,0,7,18,0,5,1,1,0.72,0.6515,0.45,0.2239,496
8283,2011-12-16,4,0,12,18,0,5,1,2,0.32,0.303,0.45,0.2537,295
14030,2012-08-12,3,1,8,18,0,0,0,1,0.78,0.6818,0.35,0.1045,491
12409,2012-06-06,2,1,6,5,0,3,1,1,0.48,0.4697,0.77,0,38
3207,2011-05-18,2,0,5,12,0,3,1,1,0.56,0.5303,0.94,0.2985,54
176,2011-01-08,1,0,1,14,0,6,0,1,0.2,0.1667,0.32,0.4925,95
6027,2011-09-13,3,0,9,16,0,2,1,1,0.74,0.6667,0.51,0.2239,292
5427,2011-08-19,3,0,8,0,0,5,1,3,0.68,0.6364,0.69,0.194,62
14010,2012-08-11,3,1,8,22,0,6,0,2,0.66,0.5909,0.89,0.1642,168
