text,category
"
What I mean is what I said.   ""What I want"" does not automatically
translate into ""what I think is right.""   That is, it does not 
translate that way for me.

If you reply that ""I think it is ok to kill you because that is what 
I decided"" then what that means is that for you ""What I want"" does
translate into ""what I think is right"".

It just doesn't translate that way for me.",0
"What worked for me on my RD350 was to lean towards the dog as I modulated
throttle to keep my ankle just ahead of his teeth.  After a few seconds of
warm pipe firmly wedged on his shoulder he turned his face sideways to see
what was so warm and got his mouth/nose/muzzle burned on the pipes.  One
yip and he veered away, never to chase me again.
",2
"The honest answer to your question about Arabs who were expelled
from Jaffa, and/or who fled Jaffa, or anywhere else in Israel, having
the right to return is:  Yes, unfortunately, they have the right to
return.  They may apply for citizenship like any other non-Israeli and
then go to >Jaffa and try to buy their house back from the Jews who now
own it.  

	And now a question and answer for you:  Can the Jews who were
born and raised in Hebron, or their descendants go back to THEIR homes
in Hebron?  The answer is: absolutely NOT, because they were almost all
murdered by their Arab neighbors - the ""palestinians"".

	Now, do I think the Arabs should be allowed to even visit
""their"" homes in Jaffa?  Hell, no.  Bring back the Jews of Hebron, Petah
Tikva, Jerusalem, Safed, etc. Then, perhaps I would be in favor of Arabs
returning to their Jaffa homes.  However, seeing as no Arab has yet been
able to bring people back from the dead, I'd say that's out.

With all the hope in the world,

Nissan Ratzlav-Katz",4
"

      _The_ problem with Oort cloud sources is that absolutely
      no plausible mechanism has been proposed. It would have
      to involve new physics as far as I can tell. Closest to
      ""conventional"" Oort sources is a model of B-field pinching
      by comets, it's got too many holes in it to count, but at
      least it was a good try...

   So you have a plausible model for GRB's at astronomical distances?

I don't have any plausible models for GRBs at any distances ;-)

   Recent observations have just about ruled out the merging neutron star
   hypothesis, which had a lot of problems, anyhow.  We have to look for
   implausible models and what is fundamentally allowed independent of
   models.

Hmm, the ""superbowl"" burst has been claimed in press releases
to cast doubt on the merging NS hypothesis, from what I've read
(and I haven't seen the papers, only the press) I'd say it is
consistent with some of the merging NS models

   A paper on the possibility of GRB's in the Oort cloud just came
   through the astrophysics abstract service.  To get a copy of this

   Here is the abstract of that paper.

 ...
      indicator to these events all possible sources which are
      isotropically distributed should remain under consideration. This is
      why the Oort cloud of comets is kept on the list,
      although there is no known mechanism for generating \GRBs
      from cometary nuclei. Unlikely as it may seem, the possibility that \GRBs
      originate in the solar cometary cloud
      cannot be excluded until it is disproved.

This does not propose a _mechanism_ for GRBs in the Oort (and, no,
anti-matter annihilation does not fit the spectra at least as far
as I understand annihilation spectra...). Big difference.
That's ignoring the question of how you fit a distribution
to the Oort distribution when the Oort distribution is not well
known - in particular comet aphelia (which are not well known)
are not a good measure of the Oort cloud distribution...
",3
"
I too am a Jules Verne collector, and can tell you that though tough 
to find, it *is* out there.  I keep my eyes open all the time for his
books at various Bay Area used book stores, and every once in a while
get *very* lucky.  You just need diligence.  I don't know if the book
store situation near JSC is as good as the Bay Area, but good luck.
I have also had excellent luck at the Antiquarian Book Fair which comes
to SF every other year, though the prices are more in the $100-$200 range
than the $50 you want to spend.  My guess is that *if* you find it,
you won't need to spend even that much, since most people don't care 
about it.  I think I paid about $15 for my dust-jacket-less but otherwise
good condition copy, which I found one day at a small bookshop that happened
to have just bought a lot of random books at an estate sale.  

Of course, if you re willing to buy blind, you can put a $2 advertisement
in the Antiquarian Bookseller's newsletter (the exact title of which escapes
me at the moment.)  _Five Weeks in a Balloon_ is not the rarest of Jules
Verne books.  Someone has it for sale somewhere, and the AB is the way to 
find it.  In fact, I would be surprised if you didn't get multiple offers
of sale.  Of course, that takes the fun out of hunting for it yourself...

Good luck.",3
"
Even better.  Make up pete conrad in a Martian Suit,
and have him get ou;t  and throw a football
to the refs.
",3
"
(formerly Maya computer) advertised a DayStar 33 MHz PowerCache WITH
68882 for $295!  Can you believe it?  I know prices would be falling,
but geeze!

Thought you might be interested...

Chuck


-- 
Chuck Williams ==> CS Intern ==> Pacific Northwest Laboratories",1
"

    Performa 405 = LCII 4/80 with Monitor, modem and software.
    Performa 430 = LCII 4/120 w/ Monitor, modem and software.


    Performa 450 = LCIII with Monitor, modem and software.
    Do we detect a trend here people...


    The Performas are made to be low-cost, widely distributed (sold at
Sears) home machines, not business machines. They were developed to
compete with the retail outlet home computer market.


    Sears is probably going to have the best price around, most of the
time, based on the number they can purchase and stuff like that.


    Not really. The newer Peformas (405, 430, 450) come with what is
really a third party monitor that Apple has put their name on and
called it the Performa Plus display. Essentially it is a VGA monitor,
quite cheap.",1
"
   Henry, if I read you correctly, you may be asking ""If I put a blackbody
in interstellar space ('disregarding the Sun and nearby large warm objects'),
what termperature will it reach in thermal equilibrium with the ambient
radiation field?""

   If that's the case, let me point out that interstellar dust and 
molecules provide many instances of things that are, well, not-too-far
from being blackbodies.  Many different observations, including IRAS
and COBE, have determined that interstellar dust grain temperatures
can range from 40K to 150K.  You might look in a conference proceedings
""Interstellar Processes"", ed. D. J. Hollenbach and H. A. Thronson, Jr.,
published in 1987.  Try the articles by Tielens et al., Seab, and 
Black.

   Inside the disk of the galaxy, the temperature varies quite a bit
from place to place (how close are you to the nearest OB association,
I would guess).  Outside the galaxy, of course, things aren't so 
varied.

   I hope this is what you were looking for....
",3
"


This was all badly reported in the news.  There is no evidence that
signs of life found in old rock predate putative planet-sterilizing
events.  Rather, the argument was that if life arose shortly the last
sterilizing event, then it must be easily formed.  The *inference*
was that life originated before and was destroyed, but there was
no evidence of that.

However, even this argument is flawed.  It could well be that origin of
life requires specific conditions (say, a certain composition of the
atmosphere) that do not last for long.  So, perhaps life formed
early only because it would have had no other chance to do so,
not because it was likely that life would originate under those
conditions.",3
